InventoryAltID,ProductID,OnShelfQuantity,WarehouseID,InventoryID
1001,1,5,1,1
1002,2,5,8,2
1003,3,3,9,3
1004,4,6,8,4
1005,5,3,7,5
1006,6,11,5,6
1007,7,3,4,7
1008,8,16,7,8
1009,9,8,10,9
1010,10,14,2,10
1011,11,1,6,11
1012,12,2,4,12
1013,13,2,1,13
1014,14,2,1,14
1015,15,3,9,15
1016,16,10,2,16
1017,17,4,1,17
1018,18,6,7,18
1019,19,3,5,19
1020,20,5,6,20
1021,21,9,7,21
1022,22,7,1,22
1023,23,6,10,23
1024,24,7,6,24
1025,25,13,6,25
1026,26,10,2,26
1027,27,13,8,27
1028,28,13,3,28
1029,29,15,7,29
1030,30,13,10,30
1031,31,4,2,31
1032,32,2,4,32
1033,33,4,9,33
1034,34,1,10,34
1035,35,2,5,35
1036,36,4,8,36
1037,37,7,5,37
1038,38,4,7,38
1039,39,3,1,39
1040,40,3,6,40
1041,41,5,6,41
1042,42,3,6,42
1043,43,4,5,43
1044,44,2,5,44
1045,45,2,5,45
1046,46,2,5,46
1047,47,1,4,47
1048,48,7,4,48
1049,49,3,6,49
1050,50,3,3,50
1051,51,11,2,51
1052,52,8,6,52
1053,53,13,5,53
1054,54,21,2,54
1055,55,12,4,55
1056,56,2,6,56
1057,57,7,10,57
1058,58,8,8,58
1059,59,6,2,59
1060,60,8,4,60
1061,61,33,4,61
1062,62,117,6,62
1063,63,38,2,63
1064,64,16,7,64
1065,65,112,2,65
1066,66,56,9,66
1067,67,35,5,67
1068,68,575,10,68
1069,69,75,10,69
1070,70,22,5,70
1071,71,399,9,71
1072,72,73,10,72
1073,73,14,6,73
1074,74,24,5,74
1075,75,208,8,75
1076,76,39,5,76
1077,77,76,5,77
1078,78,38,10,78
1079,79,628,4,79
1080,80,106,1,80
1081,81,50,3,81
1082,82,103,7,82
1083,83,199,6,83
1084,84,98,7,84
1085,85,201,8,85
1086,86,10,5,86
1087,87,8,2,87
1088,88,31,10,88
1089,89,448,1,89
1090,90,45,5,90
1091,91,31,9,91
1092,92,30,9,92
1093,93,23,5,93
1094,94,63,3,94
1095,95,42,10,95
1096,96,20,10,96
1097,97,68,10,97
1098,98,23,4,98
1099,99,114,4,99
1100,100,20,6,100
1101,101,49,2,101
1102,102,488,2,102
1103,103,48,5,103
1104,104,17,6,104
1105,105,7,2,105
1106,106,21,1,106
1107,107,8,3,107
1108,108,18,4,108
1109,109,12,6,109
1110,110,12,4,110
1111,111,30,3,111
1112,112,9,3,112
1113,113,16,5,113
1114,114,11,10,114
1115,115,24,1,115
1116,116,15,6,116
1117,117,12,3,117
1118,118,13,5,118
1119,119,6,3,119
1120,120,11,6,120
1121,121,4,4,121
1122,122,5,6,122
1123,123,2,1,123
1124,124,5,1,124
1125,125,8,6,125
1126,126,3,9,126
1127,127,48,1,127
1128,128,89,6,128
1129,129,11,9,129
1130,130,5,2,130
1131,131,18,4,131
1132,132,86,9,132
1133,133,4,3,133
1134,134,4,2,134
1135,135,3,7,135
1136,136,8,3,136
1137,137,4,1,137
1138,138,7,6,138
1139,139,30,7,139
1140,140,44,1,140
1141,141,11,10,141
1142,142,16,1,142
1143,143,29,7,143
1144,144,19,9,144
1145,145,4,6,145
1146,146,4,1,146
1147,147,7,7,147
1148,148,3,10,148
1149,149,7,1,149
1150,150,3,10,150
1151,151,20,7,151
1152,152,22,2,152
1153,153,13,7,153
1154,154,27,9,154
1155,155,17,1,155
1156,156,25,8,156
1157,157,2,2,157
1158,158,2,10,158
1159,159,11,7,159
1160,160,4,6,160
1161,161,4,10,161
1162,162,3,8,162
1163,163,51,6,163
1164,164,34,9,164
1165,165,51,6,165
1166,166,26,9,166
1167,167,59,4,167
1168,168,32,8,168
1169,169,2,6,169
1170,170,2,3,170
1171,171,8,1,171
1172,172,2,1,172
1173,173,8,2,173
1174,174,2,8,174
1175,175,42,2,175
1176,176,25,6,176
1177,177,39,10,177
1178,178,11,7,178
1179,179,9,9,179
1180,180,35,7,180
1181,181,25,5,181
1182,182,31,5,182
1183,183,39,7,183
1184,184,34,1,184
1185,185,31,1,185
1186,186,27,7,186
1187,187,5,8,187
1188,188,6,2,188
1189,189,9,1,189
1190,190,6,7,190
1191,191,12,6,191
1192,192,4,3,192
1193,193,4,6,193
1194,194,5,7,194
1195,195,6,3,195
1196,196,8,8,196
1197,197,9,6,197
1198,198,5,3,198
1199,199,2,7,199
1200,200,3,3,200
1201,201,8,7,201
1202,202,4,9,202
1203,203,6,6,203
1204,204,2,5,204
1205,205,7,3,205
1206,206,5,6,206
1207,207,16,6,207
1208,208,19,1,208
1209,209,16,10,209
1210,210,6,10,210
1211,211,7,4,211
1212,212,3,9,212
1213,213,29,5,213
1214,214,8,9,214
1215,215,27,8,215
1216,216,4,10,216
1217,217,32,9,217
1218,218,49,10,218
1219,219,14,3,219
1220,220,20,3,220
1221,221,29,1,221
1222,222,26,8,222
1223,223,2,3,223
1224,224,2,1,224
1225,225,15,2,225
1226,226,3,3,226
1227,227,6,3,227
1228,228,4,1,228
1229,229,23,10,229
1230,230,37,5,230
1231,231,34,1,231
1232,232,17,5,232
1233,233,15,8,233
