ProductAltID,ProductName,DesignNo ,CategoryID,Size,Color,Price,ProductID
1,AN201-RED-L,AN201,1,L,Red,649.0,1
2,AN201-RED-M,AN201,1,M,Red,649.0,2
3,AN201-RED-S,AN201,1,S,Red,649.0,3
4,AN201-RED-XL,AN201,1,XL,Red,649.0,4
5,AN201-RED-XXL,AN201,1,XXL,Red,649.0,5
6,AN202-ORANGE-L,AN202,1,L,Orange,649.0,6
7,AN202-ORANGE-M,AN202,1,M,Orange,649.0,7
8,AN202-ORANGE-S,AN202,1,S,Orange,649.0,8
9,AN202-ORANGE-XL,AN202,1,XL,Orange,649.0,9
10,AN202-ORANGE-XXL,AN202,1,XXL,Orange,649.0,10
11,AN203-MAROON-L,AN203,1,L,Maroon,649.0,11
12,AN203-MAROON-M,AN203,1,M,Maroon,649.0,12
13,AN203-MAROON-S,AN203,1,S,Maroon,649.0,13
14,AN203-MAROON-XL,AN203,1,XL,Maroon,649.0,14
15,AN203-MAROON-XXL,AN203,1,XXL,Maroon,649.0,15
16,AN204-PURPLE-L,AN204,1,L,Purple,649.0,16
17,AN204-PURPLE-M,AN204,1,M,Purple,649.0,17
18,AN204-PURPLE-S,AN204,1,S,Purple,649.0,18
19,AN204-PURPLE-XL,AN204,1,XL,Purple,649.0,19
20,AN204-PURPLE-XXL,AN204,1,XXL,Purple,649.0,20
21,AN205-YELLOW-L,AN205,1,L,Yellow,649.0,21
22,AN205-YELLOW-M,AN205,1,M,Yellow,649.0,22
23,AN205-YELLOW-S,AN205,1,S,Yellow,649.0,23
24,AN205-YELLOW-XL,AN205,1,XL,Yellow,649.0,24
25,AN205-YELLOW-XXL,AN205,1,XXL,Yellow,649.0,25
26,AN206-GREEN-L,AN206,1,L,Green,649.0,26
27,AN206-GREEN-M,AN206,1,M,Green,649.0,27
28,AN206-GREEN-S,AN206,1,S,Green,649.0,28
29,AN206-GREEN-XL,AN206,1,XL,Green,649.0,29
30,AN206-GREEN-XXL,AN206,1,XXL,Green,649.0,30
31,AN207-PINK-L,AN207,1,L,Pink,649.0,31
32,AN207-PINK-M,AN207,1,M,Pink,649.0,32
33,AN207-PINK-S,AN207,1,S,Pink,649.0,33
34,AN207-PINK-XL,AN207,1,XL,Pink,649.0,34
35,AN207-PINK-XXL,AN207,1,XXL,Pink,649.0,35
36,AN209-BIEGE-L,AN209,1,L,Beige,649.0,36
37,AN209-BIEGE-M,AN209,1,M,Beige,649.0,37
38,AN209-BIEGE-S,AN209,1,S,Beige,649.0,38
39,AN209-BIEGE-XL,AN209,1,XL,Beige,649.0,39
40,AN209-BIEGE-XXL,AN209,1,XXL,Beige,649.0,40
41,AN210-NAVY-L,AN210,1,L,Navy Blue,649.0,41
42,AN210-NAVY-M,AN210,1,M,Navy Blue,649.0,42
43,AN210-NAVY-S,AN210,1,S,Navy Blue,649.0,43
44,AN210-NAVY-XL,AN210,1,XL,Navy Blue,649.0,44
45,AN210-NAVY-XXL,AN210,1,XXL,Navy Blue,649.0,45
46,AN211-BLACK-L,AN211,1,L,Black,649.0,46
47,AN211-BLACK-M,AN211,1,M,Black,649.0,47
48,AN211-BLACK-S,AN211,1,S,Black,649.0,48
49,AN211-BLACK-XL,AN211,1,XL,Black,649.0,49
50,AN211-BLACK-XXL,AN211,1,XXL,Black,649.0,50
51,AN212-WHITE-L,AN212,1,L,White,649.0,51
52,AN212-WHITE-M,AN212,1,M,White,649.0,52
53,AN212-WHITE-S,AN212,1,S,White,649.0,53
54,AN212-WHITE-XL,AN212,1,XL,White,649.0,54
55,AN212-WHITE-XXL,AN212,1,XXL,White,649.0,55
56,AN213-BROWN-L,AN213,1,L,Brown,649.0,56
57,AN213-BROWN-M,AN213,1,M,Brown,649.0,57
58,AN213-BROWN-S,AN213,1,S,Brown,649.0,58
59,AN213-BROWN-XL,AN213,1,XL,Brown,649.0,59
60,AN213-BROWN-XXL,AN213,1,XXL,Brown,649.0,60
61,BL001-50PINK,BL001,2,FREE,Pink,1399.0,61
62,BL003-50BLACK,BL003,2,FREE,Black,1399.0,62
63,BL004-50CHIKU,BL004,2,FREE,Beige,1399.0,63
64,BL005-54RED,BL005,2,FREE,Red,1399.0,64
65,BL006-54BLACK,BL006,2,FREE,Black,1399.0,65
66,BL007-61PINK,BL007,2,FREE,Pink,1399.0,66
67,BL008-61RED,BL008,2,FREE,Red,1399.0,67
68,BL009-61BLACK,BL009,2,FREE,Black,1399.0,68
69,BL010-61CHIKU,BL010,2,FREE,Beige,1399.0,69
70,BL011-62PINK,BL011,2,FREE,Pink,1399.0,70
71,BL013-62BLACK,BL013,2,FREE,Black,1399.0,71
72,BL014-62CHIKU,BL014,2,FREE,Beige,1399.0,72
73,BL015-63PINK,BL015,2,FREE,Pink,1399.0,73
74,BL016-63RED,BL016,2,FREE,Red,1399.0,74
75,BL017-63BLACK,BL017,2,FREE,Black,1399.0,75
76,BL018-63BEIGE,BL018,2,FREE,Beige,1399.0,76
77,BL019-71PINK,BL019,2,FREE,Pink,1399.0,77
78,BL020-71RED,BL020,2,FREE,Red,1399.0,78
79,BL021-71BLACK,BL021,2,FREE,Black,1399.0,79
80,BL022-71BEIGE,BL022,2,FREE,Beige,1399.0,80
81,BL023-74PINK,BL023,2,FREE,Pink,1399.0,81
82,BL024-74RED,BL024,2,FREE,Red,1399.0,82
83,BL025-74BLACK,BL025,2,FREE,Black,1399.0,83
84,BL026-74BEIGE,BL026,2,FREE,Beige,1399.0,84
85,BL029-78BLACK,BL029,2,FREE,Black,1399.0,85
86,BL030-78BEIGE,BL030,2,FREE,Beige,1399.0,86
87,BL031-79PINK,BL031,2,FREE,Pink,1399.0,87
88,BL034-150GOLD,BL034,2,FREE,Gold,1399.0,88
89,BL035-161GOLD,BL035,2,FREE,Gold,1399.0,89
90,BL036-176GOLD,BL036,2,FREE,Gold,1399.0,90
91,BL040-65PINK,BL040,2,FREE,Pink,1399.0,91
92,BL041-65RED,BL041,2,FREE,Red,1399.0,92
93,BL046-82RED,BL046,2,FREE,Red,1399.0,93
94,BL050-83RED,BL050,2,FREE,Red,1399.0,94
95,BL051-83BLACK,BL051,2,FREE,Black,1399.0,95
96,BL053-153GOLD,BL053,2,FREE,Gold,1399.0,96
97,BL055-164GOLD,BL055,2,FREE,Gold,1399.0,97
98,BL056-185GOLD,BL056,2,FREE,Gold,1399.0,98
99,BL057-65BLACK,BL057,2,FREE,Black,1399.0,99
100,BL058-65BEIGE,BL058,2,FREE,Beige,1399.0,100
101,BL060-75RED,BL060,2,FREE,Red,1399.0,101
102,BL061-75BLACK,BL061,2,FREE,Black,1399.0,102
103,BL073-85BLACK,BL073,2,FREE,Black,1399.0,103
104,BL074-85RED,BL074,2,FREE,Red,1399.0,104
105,BL075-85CHIKU,BL075,2,FREE,Chiku,1399.0,105
106,BL076-86BLACK,BL076,2,FREE,Black,1399.0,106
107,BL077-86RED,BL077,2,FREE,Red,1399.0,107
108,BL078-87BLACK,BL078,2,FREE,Black,1399.0,108
109,BL079-87RED,BL079,2,FREE,Red,1399.0,109
110,BL080-88BLACK,BL080,2,FREE,Black,1399.0,110
111,BL081-88PINK,BL081,2,FREE,Pink,1399.0,111
112,BL082-88CHIKU,BL082,2,FREE,Beige,1399.0,112
113,BL083-186GOLD,BL083,2,FREE,Gold,1399.0,113
114,BL084-187GOLD,BL084,2,FREE,Gold,1399.0,114
115,BL085-L,BL085,2,L,Orange,1609.0,115
116,BL085-M,BL085,2,M,Orange,1609.0,116
117,BL085-S,BL085,2,S,Orange,1609.0,117
118,BL085-XL,BL085,2,XL,Orange,1609.0,118
119,BL085-XS,BL085,2,XS,Orange,1609.0,119
120,BL085-XXL,BL085,2,XXL,Orange,1609.0,120
121,BL086-L,BL086,2,L,Blue,1609.0,121
122,BL086-M,BL086,2,M,Blue,1609.0,122
123,BL086-S,BL086,2,S,Blue,1609.0,123
124,BL086-XL,BL086,2,XL,Blue,1609.0,124
125,BL086-XS,BL086,2,XS,Blue,1609.0,125
126,BL086-XXL,BL086,2,XXL,Blue,1609.0,126
127,BL087-L,BL087,2,L,Multicolor,1609.0,127
128,BL087-M,BL087,2,M,Multicolor,1609.0,128
129,BL087-S,BL087,2,S,Multicolor,1609.0,129
130,BL087-XL,BL087,2,XL,Multicolor,1609.0,130
131,BL087-XS,BL087,2,XS,Multicolor,1609.0,131
132,BL087-XXL,BL087,2,XXL,Multicolor,1609.0,132
133,BL089-L,BL089,2,L,Multicolor,1399.0,133
134,BL089-M,BL089,2,M,Multicolor,1399.0,134
135,BL089-S,BL089,2,S,Multicolor,1399.0,135
136,BL089-XL,BL089,2,XL,Multicolor,1399.0,136
137,BL089-XS,BL089,2,XS,Multicolor,1399.0,137
138,BL089-XXL,BL089,2,XXL,Multicolor,1399.0,138
139,BL090-L,BL090,2,L,Peach,1399.0,139
140,BL090-M,BL090,2,M,Peach,1399.0,140
141,BL090-S,BL090,2,S,Peach,1399.0,141
142,BL090-XL,BL090,2,XL,Peach,1399.0,142
143,BL090-XS,BL090,2,XS,Peach,1399.0,143
144,BL090-XXL,BL090,2,XXL,Peach,1399.0,144
145,BL091-L,BL091,2,L,Multicolor,1329.0,145
146,BL091-M,BL091,2,M,Multicolor,1329.0,146
147,BL091-S,BL091,2,S,Multicolor,1329.0,147
148,BL091-XL,BL091,2,XL,Multicolor,1329.0,148
149,BL091-XS,BL091,2,XS,Multicolor,1329.0,149
150,BL091-XXL,BL091,2,XXL,Multicolor,1329.0,150
151,BL092-L,BL092,2,L,Blue,1329.0,151
152,BL092-M,BL092,2,M,Blue,1329.0,152
153,BL092-S,BL092,2,S,Blue,1329.0,153
154,BL092-XL,BL092,2,XL,Blue,1329.0,154
155,BL092-XS,BL092,2,XS,Blue,1329.0,155
156,BL092-XXL,BL092,2,XXL,Blue,1329.0,156
157,BL093-L,BL093,2,L,Grey,1329.0,157
158,BL093-M,BL093,2,M,Grey,1329.0,158
159,BL093-S,BL093,2,S,Grey,1329.0,159
160,BL093-XL,BL093,2,XL,Grey,1329.0,160
161,BL093-XS,BL093,2,XS,Grey,1329.0,161
162,BL093-XXL,BL093,2,XXL,Grey,1329.0,162
163,BL095-L,BL095,2,L,Multicolor,1399.0,163
164,BL095-M,BL095,2,M,Multicolor,1399.0,164
165,BL095-S,BL095,2,S,Multicolor,1399.0,165
166,BL095-XL,BL095,2,XL,Multicolor,1399.0,166
167,BL095-XS,BL095,2,XS,Multicolor,1399.0,167
168,BL095-XXL,BL095,2,XXL,Multicolor,1399.0,168
169,BL096-L,BL096,2,L,Beige,1399.0,169
170,BL096-M,BL096,2,M,Beige,1399.0,170
171,BL096-S,BL096,2,S,Beige,1399.0,171
172,BL096-XL,BL096,2,XL,Beige,1399.0,172
173,BL096-XS,BL096,2,XS,Beige,1399.0,173
174,BL096-XXL,BL096,2,XXL,Beige,1399.0,174
175,BL097-L,BL097,2,L,Maroon,1399.0,175
176,BL097-M,BL097,2,M,Maroon,1399.0,176
177,BL097-S,BL097,2,S,Maroon,1399.0,177
178,BL097-XL,BL097,2,XL,Maroon,1399.0,178
179,BL097-XS,BL097,2,XS,Maroon,1399.0,179
180,BL097-XXL,BL097,2,XXL,Maroon,1399.0,180
181,BL098-L,BL098,2,L,Brown,1469.0,181
182,BL098-M,BL098,2,M,Brown,1469.0,182
183,BL098-S,BL098,2,S,Brown,1469.0,183
184,BL098-XL,BL098,2,XL,Brown,1469.0,184
185,BL098-XS,BL098,2,XS,Brown,1469.0,185
186,BL098-XXL,BL098,2,XXL,Brown,1469.0,186
187,BL099-L,BL099,2,L,Black,1469.0,187
188,BL099-M,BL099,2,M,Black,1469.0,188
189,BL099-S,BL099,2,S,Black,1469.0,189
190,BL099-XL,BL099,2,XL,Black,1469.0,190
191,BL099-XS,BL099,2,XS,Black,1469.0,191
192,BL099-XXL,BL099,2,XXL,Black,1469.0,192
193,BL100-L,BL100,2,L,Green,1469.0,193
194,BL100-M,BL100,2,M,Green,1469.0,194
