InventoryID ,ProductID,OnShelfQuantity,WarehouseID
1001,1,5,1
1002,2,5,8
1003,3,3,9
1004,4,6,8
1005,5,3,7
1006,6,11,5
1007,7,3,4
1008,8,16,7
1009,9,8,10
1010,10,14,2
1011,11,1,6
1012,12,2,4
1013,13,2,1
1014,14,2,1
1015,15,3,9
1016,16,10,2
1017,17,4,1
1018,18,6,7
1019,19,3,5
1020,20,5,6
1021,21,9,7
1022,22,7,1
1023,23,6,10
1024,24,7,6
1025,25,13,6
1026,26,10,2
1027,27,13,8
1028,28,13,3
1029,29,15,7
1030,30,13,10
1031,31,4,2
1032,32,2,4
1033,33,4,9
1034,34,1,10
1035,35,2,5
1036,36,4,8
1037,37,7,5
1038,38,4,7
1039,39,3,1
1040,40,3,6
1041,41,5,6
1042,42,3,6
1043,43,4,5
1044,44,2,5
1045,45,2,5
1046,46,2,5
1047,47,1,4
1048,48,7,4
1049,49,3,6
1050,50,3,3
1051,51,11,2
1052,52,8,6
1053,53,13,5
1054,54,21,2
1055,55,12,4
1056,56,2,6
1057,57,7,10
1058,58,8,8
1059,59,6,2
1060,60,8,4
1061,61,33,4
1062,62,117,6
1063,63,38,2
1064,64,16,7
1065,65,112,2
1066,66,56,9
1067,67,35,5
1068,68,575,10
1069,69,75,10
1070,70,22,5
1071,71,399,9
1072,72,73,10
1073,73,14,6
1074,74,24,5
1075,75,208,8
1076,76,39,5
1077,77,76,5
1078,78,38,10
1079,79,628,4
1080,80,106,1
1081,81,50,3
1082,82,103,7
1083,83,199,6
1084,84,98,7
1085,85,201,8
1086,86,10,5
1087,87,8,2
1088,88,31,10
1089,89,448,1
1090,90,45,5
1091,91,31,9
1092,92,30,9
1093,93,23,5
1094,94,63,3
1095,95,42,10
1096,96,20,10
1097,97,68,10
1098,98,23,4
1099,99,114,4
1100,100,20,6
1101,101,49,2
1102,102,488,2
1103,103,48,5
1104,104,17,6
1105,105,7,2
1106,106,21,1
1107,107,8,3
1108,108,18,4
1109,109,12,6
1110,110,12,4
1111,111,30,3
1112,112,9,3
1113,113,16,5
1114,114,11,10
1115,115,24,1
1116,116,15,6
1117,117,12,3
1118,118,13,5
1119,119,6,3
1120,120,11,6
1121,121,4,4
1122,122,5,6
1123,123,2,1
1124,124,5,1
1125,125,8,6
1126,126,3,9
1127,127,48,1
1128,128,89,6
1129,129,11,9
1130,130,5,2
1131,131,18,4
1132,132,86,9
1133,133,4,3
1134,134,4,2
1135,135,3,7
1136,136,8,3
1137,137,4,1
1138,138,7,6
1139,139,30,7
1140,140,44,1
1141,141,11,10
1142,142,16,1
1143,143,29,7
1144,144,19,9
1145,145,4,6
1146,146,4,1
1147,147,7,7
1148,148,3,10
1149,149,7,1
1150,150,3,10
1151,151,20,7
1152,152,22,2
1153,153,13,7
1154,154,27,9
1155,155,17,1
1156,156,25,8
1157,157,2,2
1158,158,2,10
1159,159,11,7
1160,160,4,6
1161,161,4,10
1162,162,3,8
1163,163,51,6
1164,164,34,9
1165,165,51,6
1166,166,26,9
1167,167,59,4
1168,168,32,8
1169,169,2,6
1170,170,2,3
1171,171,8,1
1172,172,2,1
1173,173,8,2
1174,174,2,8
1175,175,42,2
1176,176,25,6
1177,177,39,10
1178,178,11,7
